an old - fashioned but emotionally stirring adventure tale of the kind they rarely make anymore .		10		1
a metaphor for a modern - day urban china searching for its identity .		10		1
kaufman and jonze take huge risks to ponder the whole notion of passion - - our desire as human beings for passion in our lives and the emptiness one feels when it is missing .		10		1
like a skillful fisher , the director uses the last act to reel in the audience since its poignancy hooks us completely .		10		1
jae - eun jeong 's take care of my cat brings a beguiling freshness to a coming - of - age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema .		10		1
sem se preocupar em criar momentos melodramticos para arrancar lgrimas do espectador , o pianista um filme triste sem que , para isso , precise ser emocionante .		10		1
a beautiful , timeless and universal tale of heated passions - - jealousy , betrayal , forgiveness and murder .		10		1
a mostly intelligent , engrossing and psychologically resonant suspenser .		10		1
if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build - up of expository material .		10		1
romantic comedy and dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here .		10		1
this is art paying homage to art .		10		1
for those in search of something different , wendigo is a genuinely bone - chilling tale .		10		1
an incendiary , deeply thought - provoking look at one of the most peculiar -lrb- and peculiarly venomous -rrb- bigotries in our increasingly frightening theocracy		10		1
manages to delight without much of a story .		10		1
as a courtroom drama , it 's compelling , as an indictment on the american justice system , it 's frightening .		10		1
kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed .		10		1
it deserves strong love .		10		1
brilliantly written and well - acted , yellow asphalt is an uncompromising film .		10		1
neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .		10		1
has an unmistakable , easy joie de vivre .		10		1
definitely worth seeing ... it 's the sort of thought provoking film that forces you to question your own threshold of loneliness .		10		1
altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .		10		1
with lesser talents , high crimes would be entertaining , but forgettable . with freeman and judd , i 'll at least remember their characters .		10		1
what a great way to spend 4 units of your day .		10		1
vividly conveys both the pitfalls and the pleasures of over - the - top love .		10		1
call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity .		10		1
some movies suck you in despite their flaws , and heaven is one such beast .		10		1
... a delicious crime drama on par with the slickest of mamet .		10		1
the tenderness of the piece is still intact .		10		1
the production values are of the highest and the performances attractive without being memorable .		10		1
this movie is also revealing .		10		1
it was filled with shootings , beatings , and more cussing than you could shake a stick at .		10		1
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .		10		1
the film becomes an overwhelming pleasure , and you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her .		10		1
whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini dv , they show a remarkable ability to document both sides of this emotional car - wreck .		10		1
... an agreeable time - wasting device - - but george pal 's low - tech 1960 version still rules the epochs .		10		1
a solid , psychological action film from hong kong .		10		1
what 's infuriating about full frontal is that it 's too close to real life to make sense . what 's invigorating about it is that it does n't give a damn .		10		1
much of all about lily chou - chou is mesmerizing : some of its plaintiveness could make you weep .		10		1
although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters .		10		1
recoing 's fantastic performance does n't exactly reveal what makes vincent tick , but perhaps any definitive explanation for it would have felt like a cheat .		10		1
u . s . audiences may find -lsb- attal and gainsbourg 's -rsb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .		10		1
-lsb- '' take care of my cat '' -rsb- is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals .		10		1
transcends its agenda to deliver awe - inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring - do puts the x into the games .		10		1
occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .		10		1
;-rrb- recommend with confidence !		10		1
the lady and the duke is a smart , romantic drama that dares to depict the french revolution from the aristocrats ' perspective .		10		1
what 's not to like about a movie with a ' children 's ' song that includes the line ' my stepdad 's not mean , he 's just adjusting ' ?		10		1
a coming - of - age movie that hollywood would n't have the guts to make .		10		1
any movie that makes hard work seem heroic deserves a look .		10		1
it looks closely , insightfully at fragile , complex relationships .		10		1
it 's this memory - as - identity obviation that gives secret life its intermittent unease , reaffirming that long - held illusions are indeed reality , and that erasing them recasts the self .		10		1
like a south - of - the - border melrose place .		10		1
a playful iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences .		10		1
i liked the way dustin hoffman 's character was ready to do just about everything to stay with his son .		10		1
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .		10		1
a penetrating glimpse into the tissue - thin ego of the stand - up comic .		10		1
it may scream low budget , but this charmer has a spirit that can not be denied .		10		1
conceptually , the show offers a little bit of everything - and for just about everybody -lrb- parents , kids , fantasy and/or fx fans -rrb- .		10		1
